original_concept_name_gm	diff_1_cc	diff_2_cc	concept_id	concept_name	diff_3_cc	diff_4_cn_who
Doppelseitige Hernia inguinalis mit Einklemmung, ohne Gangrän: Rezidivhernie	K40.01	K40.0	2004645	Doppelseitige Hernia inguinalis mit Einklemmung, ohne Gangrän	(null)	(null)
Sonstige zerebrale transitorische Ischämie und verwandte Syndrome: Komplette Rückbildung innerhalb von 1 bis 24 Stunden	G45.82	G45.8	2003021	Sonstige zerebrale transitorische Ischämie und verwandte Syndrome	(null)	(null)
Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit: FEV1 nicht näher bezeichnet	J44.89	J44.8	2004306	Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit	(null)	(null)
Osteodystrophia deformans bei Neubildungen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M90.64	M90.6	2005886	Osteodystrophia deformans bei Neubildungen	(null)	(null)
Sonstige Spondylose: Nicht näher bezeichnete Lokalisation	M47.89	M47.8	2005619	Sonstige Spondylose	(null)	(null)
Habituelle Luxation und Subluxation eines Gelenkes: Nicht näher bezeichnete Lokalisation	M24.49	M24.4	2005507	Habituelle Luxation und Subluxation eines Gelenkes	(null)	(null)
Sonstige näher bezeichnete Knochenkrankheiten: Oberarm [Humerus, Ellenbogengelenk]	M89.82	M89.8	2005877	Sonstige näher bezeichnete Knochenkrankheiten	(null)	(null)
Atherosklerose der Extremitätenarterien: Becken-Bein-Typ, mit Ruheschmerz	I70.23	I70.2	2004024	Atherosklerose der Extremitätenarterien	(null)	(null)
Gelenkschmerz: Unterarm [Radius, Ulna, Handgelenk]	M25.53	M25.5	2005519	Gelenkschmerz	(null)	(null)
Frakturheilung in Fehlstellung: Unterschenkel [Fibula, Tibia, Kniegelenk]	M84.06	M84.0	2005831	Frakturheilung in Fehlstellung	(null)	(null)
Defibrinationssyndrom, nicht näher bezeichnet	D65.9	D65	2001875	Disseminierte intravasale Gerinnung [Defibrinationssyndrom]	(null)	(null)
Bursitis bei chronischer Polyarthritis: Oberarm [Humerus, Ellenbogengelenk]	M06.22	M06.2	2005364	Bursitis bei chronischer Polyarthritis	(null)	(null)
Divertikulose des Dünndarmes mit Perforation und Abszess, ohne Angabe einer Blutung	K57.00	K57.0	2004720	Divertikulose des Dünndarmes mit Perforation und Abszess	(null)	(null)
Ermüdungsbruch eines Wirbels: Nicht näher bezeichnete Lokalisation	M48.49	M48.4	2005626	Ermüdungsbruch eines Wirbels	(null)	(null)
Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit: FEV1 >= 50 % und < 70 % des Sollwertes	J44.82	J44.8	2004306	Sonstige näher bezeichnete chronische obstruktive Lungenkrankheit	(null)	(null)
Verbrennungen von 90 % oder mehr der Körperoberfläche: 70-79 % Verbrennungen 3. Grades	T31.97	T31.9	2009391	Verbrennungen von 90 % oder mehr der Körperoberfläche	(null)	(null)
Fraktur eines Brustwirbels: T7 und T8	S22.04	S22.0	2008604	Fraktur eines Brustwirbels	(null)	(null)
Verätzungen von 50-59 % der Körperoberfläche: 40-49 % Verätzungen 3. Grades	T32.54	T32.5	2009398	Verätzungen von 50-59 % der Körperoberfläche	(null)	(null)
Akute myelomonozytäre Leukämie: In kompletter Remission	C92.51	C92.5	2001423	Akute myelomonozytäre Leukämie	(null)	(null)
Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet: FEV1 >=50 % und <70 % des Sollwertes	J44.12	J44.1	2004305	Chronische obstruktive Lungenkrankheit mit akuter Exazerbation, nicht näher bezeichnet	(null)	(null)
Hydrops intermittens: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M12.41	M12.4	2005408	Hydrops intermittens	(null)	(null)
Bursitis syphilitica: Nicht näher bezeichnete Lokalisation	M73.19	M73.1	2005756	Bursitis syphilitica	(null)	(null)
Juvenile Arthritis, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M08.98	M08.9	2005384	Juvenile Arthritis, nicht näher bezeichnet	(null)	(null)
Sonstige seropositive chronische Polyarthritis: Mehrere Lokalisationen	M05.80	M05.8	2005359	Sonstige seropositive chronische Polyarthritis	(null)	(null)
Sonstiger näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen: Nicht als entgleist bezeichnet	E13.40	E13.4	2002069	Sonstiger näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen	(null)	(null)
Neugeborenes: Geburtsgewicht 1000 bis unter 1250 Gramm	P07.10	P07.1	2007016	Neugeborenes mit sonstigem niedrigem Geburtsgewicht	(null)	(null)
Instabilität der Wirbelsäule: Lumbalbereich	M53.26	M53.2	2005656	Instabilität der Wirbelsäule	(null)	(null)
Arthrose, nicht näher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M19.98	M19.9	2005464	Arthrose, nicht näher bezeichnet	(null)	(null)
Sonstige näher bezeichnete Spondylopathien: Mehrere Lokalisationen der Wirbelsäule	M48.80	M48.8	2005628	Sonstige näher bezeichnete Spondylopathien	(null)	(null)
Epigastrische Hernie mit Einklemmung, ohne Gangrän	K43.60	K43.6	2004669	Sonstige und nicht näher bezeichnete Hernia ventralis mit Einklemmung, ohne Gangrän	(null)	(null)
Sonstige habituelle Wirbelsubluxation: Lumbosakralbereich	M43.57	M43.5	2005601	Sonstige habituelle Wirbelsubluxation	(null)	(null)
Weichteilschaden I. Grades bei geschlossener Fraktur oder Luxation des Unterarmes	S51.84	S51.8	2008818	Offene Wunde sonstiger Teile des Unterarmes	(null)	(null)
Verbrennung Grad 2b des Handgelenkes und der Hand	T23.21	T23.2	2009308	Verbrennung 2. Grades des Handgelenkes und der Hand	(null)	(null)
Verbrennung Grad 2b des Rumpfes: Brustdrüse [Mamma]	T21.81	T21.8	(null)	(null)	T21	Verbrennung oder Verätzung des Rumpfes
Ankylose eines Gelenkes: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M24.61	M24.6	2005509	Ankylose eines Gelenkes	(null)	(null)
Habituelle Luxation und Subluxation eines Gelenkes: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M24.48	M24.4	2005507	Habituelle Luxation und Subluxation eines Gelenkes	(null)	(null)
Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet	E14.74	E14.7	2002083	Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen	(null)	(null)
Schlafapnoe, nicht näher bezeichnet	G47.39	G47.3	2003037	Schlafapnoe	(null)	(null)
Vorzeitiger Blasensprung, Wehenhemmung durch Therapie, ohne Angabe des Wehenbeginns	O42.29	O42.2	2006699	Vorzeitiger Blasensprung, Wehenhemmung durch Therapie	(null)	(null)
Sonstige sekundäre Gicht: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M10.48	M10.4	2005395	Sonstige sekundäre Gicht	(null)	(null)
Arthritis bei Mykosen: Oberarm [Humerus, Ellenbogengelenk]	M01.62	M01.6	2005340	Arthritis bei Mykosen	(null)	(null)
Sonstige chronische hämatogene Osteomyelitis: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M86.55	M86.5	2005854	Sonstige chronische hämatogene Osteomyelitis	(null)	(null)
Aneurysmatische Knochenzyste: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M85.55	M85.5	2005844	Aneurysmatische Knochenzyste	(null)	(null)
Verätzungen von 60-69 % der Körperoberfläche: 60-69 % Verätzungen 3. Grades	T32.66	T32.6	2009399	Verätzungen von 60-69 % der Körperoberfläche	(null)	(null)
Seropositive chronische Polyarthritis mit Beteiligung sonstiger Organe und Organsysteme: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M05.37	M05.3	2005358	Seropositive chronische Polyarthritis mit Beteiligung sonstiger Organe und Organsysteme	(null)	(null)
Arthritis nach intestinalem Bypass: Unterarm [Radius, Ulna, Handgelenk]	M02.03	M02.0	2005343	Arthritis nach intestinalem Bypass	(null)	(null)
Gallengangsstein mit Cholangitis: Mit Gallenwegsobstruktion	K80.31	K80.3	2004858	Gallengangsstein mit Cholangitis	(null)	(null)
Sonstige primäre Thrombozytopenie: Als transfusionsrefraktär bezeichnet	D69.40	D69.4	2001893	Sonstige primäre Thrombozytopenie	(null)	(null)
Gelenkfistel: Mehrere Lokalisationen	M25.10	M25.1	2005515	Gelenkfistel	(null)	(null)
Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Unterarm [Radius, Ulna, Handgelenk]	M90.53	M90.5	2005885	Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten	(null)	(null)
Nekrotisierende Fasziitis: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M72.68	M72.6	2005751	Nekrotisierende Fasziitis	(null)	(null)
Akutes Nierenversagen mit Tubulusnekrose: Stadium 1	N17.01	N17.0	2006084	Akutes Nierenversagen mit Tubulusnekrose	(null)	(null)
Traumatische Spondylopathie: Nicht näher bezeichnete Lokalisation	M48.39	M48.3	2005625	Traumatische Spondylopathie	(null)	(null)
Krankheit des Weichteilgewebes, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation	M79.99	M79.9	2005797	Krankheit des Weichteilgewebes, nicht näher bezeichnet	(null)	(null)
Diabetes mellitus, Typ 1: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet	E10.20	E10.2	2012197	Diabetes mellitus, Typ 1: Mit Nierenkomplikationen	(null)	(null)
Beteiligung des Verdauungstraktes bei der chronischen Graft-versus-Host-Krankheit	K93.3	K93	2004924	Krankheiten sonstiger Verdauungsorgane bei anderenorts klassifizierten Krankheiten	(null)	(null)
Luxation sonstiger und nicht näher bezeichneter Teile des Fußes: Sonstige	S93.38	S93.3	2009100	Luxation sonstiger und nicht näher bezeichneter Teile des Fußes	(null)	(null)
Verbrennung Grad 2b des Rumpfes: Thoraxwand mit Ausnahme von Brustdrüse und -warze	T21.82	T21.8	(null)	(null)	T21	Verbrennung oder Verätzung des Rumpfes
Verbrennung Grad 2a des Rumpfes: Teil nicht näher bezeichnet	T21.20	T21.2	2009290	Verbrennung 2. Grades des Rumpfes	(null)	(null)
Primär insulinabhängiger Diabetes mellitus [Typ-1-Diabetes]: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet	E10.20	E10.2	2012197	Diabetes mellitus, Typ 1: Mit Nierenkomplikationen	(null)	(null)
Knochentuberkulose: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M90.07	M90.0	2005880	Knochentuberkulose	(null)	(null)
Immunproliferative Dünndarmkrankheit: Ohne Angabe einer kompletten Remission	C88.30	C88.3	2001398	Immunproliferative Dünndarmkrankheit	(null)	(null)
Nicht näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen: Nicht als entgleist bezeichnet	E14.50	E14.5	2002081	Nicht näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen	(null)	(null)
Sonstige Spondylose mit Myelopathie: Thorakalbereich	M47.14	M47.1	2005617	Sonstige Spondylose mit Myelopathie	(null)	(null)
Stadium 1 der chronischen Augen-Graft-versus-Host-Krankheit	H58.21	H58.2	(null)	(null)	H58	Sonstige Affektionen des Auges und der Augenanhangsgebilde bei anderenorts klassifizierten Krankheiten
Sonstige infektiöse (Teno-)Synovitis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M65.14	M65.1	2005702	Sonstige infektiöse (Teno-) Synovitis	(null)	(null)
Knochenfraktur bei Neubildungen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M90.78	M90.7	2005887	Knochenfraktur bei Neubildungen	(null)	(null)
Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Ohne Komplikationen: Als entgleist bezeichnet	E12.91	E12.9	2002063	Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Ohne Komplikationen	(null)	(null)
Neuralgie und Neuritis, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]	M79.23	M79.2	2005790	Neuralgie und Neuritis, nicht näher bezeichnet	(null)	(null)
Obstruktives Schlafapnoe-Syndrom	G47.31	G47.3	2003037	Schlafapnoe	(null)	(null)
Pathologische Fraktur, anderenorts nicht klassifiziert: Unterarm [Radius, Ulna, Handgelenk]	M84.43	M84.4	2005835	Pathologische Fraktur, anderenorts nicht klassifiziert	(null)	(null)
Juvenile Arthritis bei sonstigen anderenorts klassifizierten Krankheiten: Oberarm [Humerus, Ellenbogengelenk]	M09.82	M09.8	2005389	Juvenile Arthritis bei sonstigen anderenorts klassifizierten Krankheiten	(null)	(null)
Krankheit der Synovialis und der Sehnen, nicht näher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M67.91	M67.9	2005722	Krankheit der Synovialis und der Sehnen, nicht näher bezeichnet	(null)	(null)
Entzündliche Spondylopathie, nicht näher bezeichnet: Thorakalbereich	M46.94	M46.9	2005614	Entzündliche Spondylopathie, nicht näher bezeichnet	(null)	(null)
Bimalleolarfraktur	S82.81	S82.8	2009026	Frakturen sonstiger Teile der Unterschenkels	(null)	(null)
Ankylose eines Gelenkes: Nicht näher bezeichnete Lokalisation	M24.69	M24.6	2005509	Ankylose eines Gelenkes	(null)	(null)
Segmentale und somatische Funktionsstörungen: Thorakalbereich [thorakolumbal]	M99.02	M99.0	2005940	Segmentale und somatische Funktionsstörungen	(null)	(null)
Sonstige näher bezeichnete Arthropathien, anderenorts nicht klassifiziert: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M12.87	M12.8	2005410	Sonstige näher bezeichnete Arthropathien, anderenorts nicht klassifiziert	(null)	(null)
Zystische Fibrose mit sonstigen Manifestationen	E84.88	E84.8	2002356	Zystische Fibrose mit sonstigen Manifestationen	(null)	(null)
Juvenile Arthritis bei sonstigen anderenorts klassifizierten Krankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M09.88	M09.8	2005389	Juvenile Arthritis bei sonstigen anderenorts klassifizierten Krankheiten	(null)	(null)
Biomechanische Funktionsstörung, nicht näher bezeichnet: Obere Extremität [akromioklavikular, sternoklavikular]	M99.97	M99.9	2005949	Biomechanische Funktionsstörung, nicht näher bezeichnet	(null)	(null)
Oberflächliche Verletzung des Rumpfes, Höhe nicht näher bezeichnet: Insektenbiss oder -stich (ungiftig)	T09.03	T09.0	2009205	Oberflächliche Verletzung des Rumpfes, Höhe nicht näher bezeichnet	(null)	(null)
Sonstige Osteomalazie im Erwachsenenalter: Unterarm [Radius, Ulna, Handgelenk]	M83.83	M83.8	2005828	Sonstige Osteomalazie im Erwachsenenalter	(null)	(null)
Fraktur einer sonstigen Rippe	S22.32	S22.3	2008607	Rippenfraktur	(null)	(null)
Sonstige näher bezeichnete Krankheiten der Synovialis und der Sehnen: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M67.87	M67.8	2005721	Sonstige näher bezeichnete Krankheiten der Synovialis und der Sehnen	(null)	(null)
Osteochondrosis dissecans: Unterschenkel [Fibula, Tibia, Kniegelenk]	M93.26	M93.2	2005910	Osteochondrosis dissecans	(null)	(null)
Sonstige seropositive chronische Polyarthritis: Unterarm [Radius, Ulna, Handgelenk]	M05.83	M05.8	2005359	Sonstige seropositive chronische Polyarthritis	(null)	(null)
Verbrennung Grad 2b der Hüfte und des Beines, ausgenommen Knöchelregion und Fuß	T24.21	T24.2	2009317	Verbrennung 2. Grades der Hüfte und des Beines, ausgenommen Knöchelregion und Fuß	(null)	(null)
Oberflächliche Verletzung sonstiger Teile des Kopfes: Oberflächlicher Fremdkörper (Splitter)	S00.84	S00.8	2008454	Oberflächliche Verletzung sonstiger Teile des Kopfes	(null)	(null)
Osteomalazie im Wochenbett: Unterarm [Radius, Ulna, Handgelenk]	M83.03	M83.0	2005822	Osteomalazie im Wochenbett	(null)	(null)
Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Oberarm [Humerus, Ellenbogengelenk]	M90.12	M90.1	2005881	Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten	(null)	(null)
Sonstige angeborene Fehlbildungen der Milz	Q89.08	Q89.0	2007963	Angeborene Fehlbildungen der Milz	(null)	(null)
Sonstige näher bezeichnete Krankheiten der Synovialis und der Sehnen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M67.88	M67.8	2005721	Sonstige näher bezeichnete Krankheiten der Synovialis und der Sehnen	(null)	(null)
Arthritis bei Crohn-Krankheit [Enteritis regionalis]: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M07.48	M07.4	2005374	Arthritis bei Crohn-Krankheit [Enteritis regionalis]	(null)	(null)
Sonstige psoriatische Arthritiden: Mehrere Lokalisationen	M07.30	M07.3	2005373	Sonstige psoriatische Arthritiden	(null)	(null)
Sonstige erworbene Deformitäten des Knöchels und des Fußes	M21.68	M21.6	2005480	Sonstige erworbene Deformitäten des Knöchels und des Fußes	(null)	(null)
Flexionsdeformität: Sonstige [Hals, Kopf, Rippen, Rumpf, Schädel, Wirbelsäule]	M21.28	M21.2	2005476	Flexionsdeformität	(null)	(null)
Neuromuskuläre Low-compliance-Blase, organisch fixiert	N31.80	N31.8	2006142	Sonstige neuromuskuläre Dysfunktion der Harnblase	(null)	(null)
Neurologischer Neglect	R29.5	R29	2008153	Sonstige Symptome, die das Nervensystem und das Muskel-Skelett-System betreffen	(null)	(null)
Segmentale und somatische Funktionsstörungen: Brustkorb [kostochondral, kostovertebral, sternochondral]	M99.08	M99.0	2005940	Segmentale und somatische Funktionsstörungen	(null)	(null)
Fraktur eines sonstigen Mittelhandknochens: Basis	S62.31	S62.3	2008890	Fraktur eines sonstigen Mittelhandknochens	(null)	(null)
Umschriebene Entwicklungsstörung der Fein- und Graphomotorik	F82.1	F82	2002803	Umschriebene Entwicklungsstörung der motorischen Funktionen	(null)	(null)
Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]	M61.92	M61.9	2005683	Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet	(null)	(null)
Osteodystrophia deformans, nicht näher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]	M88.93	M88.9	2005868	Osteodystrophia deformans, nicht näher bezeichnet	(null)	(null)
Frakturheilung in Fehlstellung: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M84.01	M84.0	2005831	Frakturheilung in Fehlstellung	(null)	(null)
Chronische Osteomyelitis mit Fistel: Unterarm [Radius, Ulna, Handgelenk]	M86.43	M86.4	2005853	Chronische Osteomyelitis mit Fistel	(null)	(null)
Valgusdeformität, anderenorts nicht klassifiziert: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M21.04	M21.0	2005474	Valgusdeformität, anderenorts nicht klassifiziert	(null)	(null)
Schmerzen in den Extremitäten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M79.64	M79.6	2005794	Schmerzen in den Extremitäten	(null)	(null)
Fibromatose, nicht näher bezeichnet: Mehrere Lokalisationen	M72.90	M72.9	2005753	Fibromatose, nicht näher bezeichnet	(null)	(null)
Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung: Unterarm [Radius, Ulna, Handgelenk]	M83.33	M83.3	2005825	Osteomalazie im Erwachsenenalter durch Fehl- oder Mangelernährung	(null)	(null)
Chronische Osteomyelitis mit Fistel: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M86.41	M86.4	2005853	Chronische Osteomyelitis mit Fistel	(null)	(null)
Sonstige näher bezeichnete Deformitäten der Wirbelsäule und des Rückens: Nicht näher bezeichnete Lokalisation	M43.89	M43.8	2005603	Sonstige näher bezeichnete Deformitäten der Wirbelsäule und des Rückens	(null)	(null)
Diszitis, nicht näher bezeichnet: Okzipito-Atlanto-Axialbereich	M46.41	M46.4	2005611	Diszitis, nicht näher bezeichnet	(null)	(null)
Neuropathische Spondylopathie: Nicht näher bezeichnete Lokalisation	M49.49	M49.4	2005635	Neuropathische Spondylopathie	(null)	(null)
Sonstige Thromboembolie während der Gestationsperiode	O88.28	O88.2	2006890	Thromboembolie während der Gestationsperiode	(null)	(null)
Osteoporose mit pathologischer Fraktur nach Ovarektomie: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M80.15	M80.1	2005800	Osteoporose mit pathologischer Fraktur nach Ovarektomie	(null)	(null)
Sonstige biomechanische Funktionsstörungen: Thorakalbereich [thorakolumbal]	M99.82	M99.8	2005948	Sonstige biomechanische Funktionsstörungen	(null)	(null)
Verletzung: Dünndarm, Teil nicht näher bezeichnet	S36.40	S36.4	2008718	Verletzung des Dünndarmes	(null)	(null)
Sonstige hypertrophische Osteoarthropathie: Beckenregion und Oberschenkel [Becken, Femur, Gesäß, Hüfte, Hüftgelenk, Iliosakralgelenk]	M89.45	M89.4	2005874	Sonstige hypertrophische Osteoarthropathie	(null)	(null)
Sonstige Spontanruptur eines oder mehrerer Bänder des Kniegelenkes: Nicht näher bezeichnetes Band	M23.69	M23.6	2005499	Sonstige Spontanruptur eines oder mehrerer Bänder des Kniegelenkes	(null)	(null)
Familiäre Chondrokalzinose: Unterschenkel [Fibula, Tibia, Kniegelenk]	M11.16	M11.1	2005399	Familiäre Chondrokalzinose	(null)	(null)
Sonstige Spontanruptur eines oder mehrerer Bänder des Kniegelenkes: Hinteres Kreuzband	M23.62	M23.6	2005499	Sonstige Spontanruptur eines oder mehrerer Bänder des Kniegelenkes	(null)	(null)
Verletzung: Peritoneum	S36.81	S36.8	2008722	Verletzung sonstiger intraabdominaler Organe	(null)	(null)
Sonstige myeloische Leukämie: In kompletter Remission	C92.71	C92.7	2001425	Sonstige myeloische Leukämie	(null)	(null)
Spontanruptur von nicht näher bezeichneten Sehnen: Nicht näher bezeichnete Lokalisation	M66.59	M66.5	2005714	Spontanruptur von nicht näher bezeichneten Sehnen	(null)	(null)
Spontanruptur von Strecksehnen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M66.24	M66.2	2005711	Spontanruptur von Strecksehnen	(null)	(null)
Verätzung Grad 2b des Rumpfes: (Äußeres) Genitale	T21.95	T21.9	(null)	(null)	T21	Verbrennung oder Verätzung des Rumpfes
Subluxation (der Wirbelsäule): Sakralbereich [sakrokokzygeal, sakroiliakal]	M99.14	M99.1	2005941	Subluxation (der Wirbelsäule)	(null)	(null)
Dekubitus 3. Grades: Kopf	L89.20	L89.2	2005270	Dekubitus 3. Grades	(null)	(null)
Hypertrophie der Synovialis, anderenorts nicht klassifiziert: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M67.27	M67.2	2005718	Hypertrophie der Synovialis, anderenorts nicht klassifiziert	(null)	(null)
Agalaktie: Ohne Angabe von Schwierigkeiten beim Anlegen	O92.30	O92.3	2006920	Agalaktie	(null)	(null)
Arthritis nach Meningokokkeninfektion: Unterschenkel [Fibula, Tibia, Kniegelenk]	M03.06	M03.0	2005350	Arthritis nach Meningokokkeninfektion	(null)	(null)
Schmerzen in den Extremitäten: Mehrere Lokalisationen	M79.60	M79.6	2005794	Schmerzen in den Extremitäten	(null)	(null)
Sonstige und nicht näher bezeichnete Dysphagie	R13.9	R13	2008098	Dysphagie	(null)	(null)
Sonstige hämorrhagische Diathese durch sonstige und nicht näher bezeichnete Antikörper	D68.38	D68.3	2001882	Hämorrhagische Diathese durch Antikoagulanzien und Antikörper	(null)	(null)
Juvenile Arthritis, nicht näher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]	M08.92	M08.9	2005384	Juvenile Arthritis, nicht näher bezeichnet	(null)	(null)
Sonstige näher bezeichnete Zustände, die mit der Schwangerschaft verbunden sind	O26.88	O26.8	2006604	Sonstige näher bezeichnete Zustände, die mit der Schwangerschaft verbunden sind	(null)	(null)
Verätzung Grad 2b der Schulter und des Armes, ausgenommen Handgelenk und Hand: (Ober-) Arm und Schulterregion	T22.92	T22.9	(null)	(null)	T22	Verbrennung oder Verätzung der Schulter und des Armes, ausgenommen Handgelenk und Hand
